split_seed,model,train_cohort,test_cohort,within_roc_auc,external_roc_auc,roc_auc_change,within_pr_auc,external_pr_auc,pr_auc_change,within_brier_score,external_brier_score,brier_score_change
11,Random Forest,Hungary,Cleveland,0.9117415287628053,0.8587910159677137,-0.052950512795091664,0.8544136545598773,0.8572593858983996,0.0028457313385222838,0.12442957443573884,0.15475028375892064,0.030320709323181802
12,Logistic Regression,Cleveland,Hungary,0.8717770034843205,0.8890505820955439,0.01727357861122336,0.893821330865508,0.8367006305407004,-0.05712070032480754,0.13850419450913853,0.12443640776348737,-0.014067786745651165
12,Random Forest,Cleveland,Hungary,0.8641114982578397,0.8926134082697711,0.028501910011931364,0.8856817309364795,0.8328785654665061,-0.052803165469973434,0.15285259593314723,0.12972026389785515,-0.02313233203529208
12,Logistic Regression,Hungary,Cleveland,0.8833727344365643,0.8509387611861732,-0.0324339732503911,0.8323605747682126,0.8465076786604446,0.01414710389223206,0.14765608398770538,0.1581261100098709,0.010470026022165513
12,Random Forest,Hungary,Cleveland,0.8636721828211189,0.8478680470257939,-0.015804135795325025,0.8070159834334094,0.8372170965651053,0.030201113131695934,0.15274225756358165,0.1600027905153972,0.007260532951815557
13,Logistic Regression,Cleveland,Hungary,0.8278745644599304,0.8858390204737053,0.05796445601377498,0.8277421116984708,0.8371833632256548,0.009441251527184003,0.1685298887458777,0.13297873540606361,-0.035551153339814096
13,Random Forest,Cleveland,Hungary,0.8299651567944252,0.8947209955841027,0.0647558387896775,0.8219179801667694,0.8236195911110185,0.0017016109442490324,0.1714489087915611,0.12966082794413702,-0.04178808084742408
13,Logistic Regression,Hungary,Cleveland,0.9267139479905437,0.8457185471135287,-0.08099540087701507,0.8839445071961993,0.8329714166482295,-0.050973090547969835,0.11256113748111547,0.16020580527635644,0.04764466779524097
13,Random Forest,Hungary,Cleveland,0.9101654846335696,0.8578259343744516,-0.05233955025911796,0.8372503009975245,0.8514450959689788,0.014194794971454261,0.12467383126331526,0.15689500807320172,0.03222117680988647
14,Logistic Regression,Cleveland,Hungary,0.9045296167247387,0.8634584504215176,-0.04107116630322116,0.8681445598605224,0.8255132559891205,-0.042631303871401904,0.12970677757537613,0.14850138681803218,0.018794609242656052
14,Random Forest,Cleveland,Hungary,0.9010452961672474,0.8803191489361701,-0.02072614723107724,0.8658048988255409,0.8307900957599804,-0.035014803065560485,0.1373848489655358,0.1374696957732751,8.484680773931941e-05
14,Logistic Regression,Hungary,Cleveland,0.9361702127659575,0.8402351289699947,-0.09593508379596272,0.9195104798780849,0.8179735673305252,-0.1015369125475597,0.0944136724269931,0.16577953881248872,0.07136586638549562
14,Random Forest,Hungary,Cleveland,0.9345941686367218,0.8486137918933147,-0.0859803767434072,0.9118999108325809,0.8421113751483991,-0.06978853568418186,0.10351322502720792,0.1630516983359852,0.05953847330877729
15,Logistic Regression,Cleveland,Hungary,0.8250871080139373,0.8851364913689281,0.06004938335499088,0.81882334412083,0.8383940376828161,0.01957069356198604,0.18021752398746357,0.127926641656216,-0.05229088233124757
15,Random Forest,Cleveland,Hungary,0.8146341463414634,0.8927639502207948,0.07812980387933144,0.8183149396088927,0.8375071090722728,0.019192169463380093,0.1742748671602683,0.12572133359920531,-0.048553533561062984
15,Logistic Regression,Hungary,Cleveland,0.8936170212765957,0.8590103526934549,-0.034606668583140765,0.8785299333251044,0.85255797053213,-0.025971962792974423,0.11368088831284723,0.15519355680026745,0.04151266848742022
15,Random Forest,Hungary,Cleveland,0.8896769109535066,0.8560273732233724,-0.03364953773013424,0.8591522822580362,0.8531353767384494,-0.006016905519586779,0.1266751513618065,0.15958206013250256,0.032906908770696075
16,Logistic Regression,Cleveland,Hungary,0.8195121951219512,0.8709353673223607,0.051423172200409484,0.7848579400973769,0.8165635706950758,0.03170563059769893,0.1785285997700903,0.1426528292268292,-0.035875770543261104
16,Random Forest,Cleveland,Hungary,0.821602787456446,0.8884484142914492,0.06684562683500317,0.8059086304305529,0.8340953704723655,0.02818674004181254,0.16787224051463578,0.12893248776226743,-0.038939752752368356
16,Logistic Regression,Hungary,Cleveland,0.9377462568951931,0.8555886997718898,-0.0821575571233033,0.9154903527629692,0.8472138827592217,-0.06827647000374748,0.09546575804852069,0.15437199193328402,0.058906233884763334
16,Random Forest,Hungary,Cleveland,0.8983451536643027,0.8579136690647481,-0.04043148459955459,0.8760179214857369,0.8538267407073868,-0.022191180778350028,0.11483499000941848,0.1583044335938178,0.04346944358439932
17,Logistic Regression,Cleveland,Hungary,0.8717770034843205,0.8799678843837816,0.008190880899461073,0.8613123999615839,0.8324033646122484,-0.028909035349335532,0.13906543461054746,0.1357916964840724,-0.003273738126475051
17,Random Forest,Cleveland,Hungary,0.8613240418118467,0.8892011240465676,0.02787708223472085,0.8427342455148455,0.8446203066695122,0.0018860611546666073,0.15282301716016097,0.13409204083652154,-0.01873097632363943
